title,price_details,street,city_info,url,meets_all_criteria,pets_allowed,bath_has_window,kitchen_floor_not_wood,has_dishwasher,has_washingmachine,has_balcony
WG Zimmer in Basel mieten,CHF 1’065 inkl. NK pro Monat,,,https://flatfox.ch/de/wohnung/4053-basel/1604295/,False,False,False,False,True,False,True
5 ½ Zimmer-Wohnung in Ettingen mieten,CHF 2’250 inkl. NK pro Monat,,,https://flatfox.ch/de/wohnung/4107-ettingen/1604240/,False,False,True,True,False,True,True
3 Zimmer-Wohnung in Riehen mieten,CHF 1’635 inkl. NK pro Monat,Grenzacherweg 81,4125 Riehen,https://flatfox.ch/de/wohnung/grenzacherweg-81-4125-riehen/1604232/,False,False,True,False,False,False,True
3 ½ Zimmer-Wohnung in Basel mieten,CHF 1’490 inkl. NK pro Monat,Beckenstrasse 9,4056 Basel,https://flatfox.ch/de/wohnung/beckenstrasse-9-4056-basel/1604216/,False,False,True,True,True,False,False
4 ½ Zimmer-Wohnung in Kaiseraugst mieten,CHF 2’080 inkl. NK pro Monat,Schwarzackerstrasse 61,4303 Kaiseraugst,https://flatfox.ch/de/wohnung/schwarzackerstrasse-61-4303-kaiseraugst/1604170/,False,False,False,True,False,False,True
4 ½ Zimmer-Wohnung in Blauen mieten,CHF 1’890 inkl. NK pro Monat,,,https://flatfox.ch/de/wohnung/4223-blauen/1603458/,False,False,True,True,False,False,True
2 ½ Zimmer-Wohnung in Basel mieten,CHF 2’050 inkl. NK pro Monat,Steinenvorstadt 27,4051 Basel,https://flatfox.ch/de/wohnung/steinenvorstadt-27-4051-basel/1603422/,False,False,False,True,False,True,True
5 ½ Zimmer-Wohnung in Aesch BL mieten,CHF 2’200 inkl. NK pro Monat,Im Birspark 1,4147 Aesch BL,https://flatfox.ch/de/wohnung/im-birspark-1-4147-aesch-bl/1568250/,False,False,False,False,True,False,True
3 ½ Zimmer-Wohnung in Basel mieten,CHF 1’715 inkl. NK pro Monat,Hardstrasse 111,4052 Basel,https://flatfox.ch/de/wohnung/hardstrasse-111-4052-basel/1465081/,False,False,False,True,True,False,True
4 Zimmer-Wohnung in Bottmingen mieten,CHF 1’690 inkl. NK pro Monat,Binningerstrasse 19,4103 Bottmingen,https://flatfox.ch/de/wohnung/binningerstrasse-19-4103-bottmingen/1577513/,False,False,False,False,False,False,False
